No,Pertanyaan,Opsi A,Opsi B,Opsi C,Opsi D,Jawaban Benar
1,"Dalam analogi warung makan, browser (client) berperan sebagai...","Warung yang menyiapkan makanan","Pembeli yang memesan makanan","Menu yang dipajang di warung","Kasir yang menerima pembayaran",B
2,"Apa yang dikirim server sebagai balasan (response) saat browser meminta sebuah halaman web?","Hanya alamat IP server","Password akses ke server","HTML, CSS, dan JavaScript milik halaman itu","Daftar semua pengguna yang sedang online",C
3,"Manakah pernyataan yang paling tepat tentang peran HTML dalam sebuah halaman web?","HTML menentukan warna dan tata letak halaman","HTML menentukan struktur dan isi halaman","HTML menentukan interaksi seperti klik tombol","HTML mengatur koneksi ke database",B
4,"Kalau sebuah halaman web hanya punya HTML tanpa CSS sama sekali, apa yang terjadi?","Halaman tidak bisa dibuka sama sekali","Halaman tetap tampil, tapi polos tanpa styling","Browser akan menampilkan pesan error","Semua teks otomatis hilang",B
5,"Apa fungsi tag <meta charset=""UTF-8""> di dalam <head>?","Menentukan judul yang muncul di tab browser","Menentukan warna latar halaman","Memastikan karakter khusus (seperti é atau Rp) tampil dengan benar","Menghubungkan file CSS ke HTML",C
6,"Tag semantik mana yang paling tepat dipakai untuk membungkus kumpulan link navigasi?","<section>","<nav>","<article>","<footer>",B
7,"Apa perbedaan utama antara <ul> dan <ol>?","<ul> untuk list bernomor, <ol> untuk list tanpa nomor","<ul> untuk list tanpa urutan, <ol> untuk list berurutan/bernomor","<ul> hanya untuk gambar, <ol> hanya untuk teks","Keduanya persis sama, hanya beda nama",B
8,"Pada form berikut, apa fungsi atribut for=""nama"" di dalam tag <label>? Kode: <label for=""nama"">Nama</label> <input type=""text"" id=""nama"">","Menentukan warna label","Menghubungkan label dengan input yang punya id sama, supaya klik label langsung fokus ke input","Membuat input menjadi wajib diisi","Membatasi jumlah karakter yang boleh diketik",B
9,"Apa kegunaan ekstensi Live Server di VS Code?","Untuk menghubungkan ke database Supabase","Untuk mengecek ejaan pada teks HTML","Untuk menjalankan halaman secara lokal dan otomatis me-refresh saat file disimpan","Untuk otomatis meng-upload kode ke GitHub",C
10,"Manakah urutan tag yang benar untuk struktur dasar sebuah dokumen HTML?","<body> di dalam <head>, lalu keduanya di dalam <html>","<html> berisi <head> dan <body> sebagai dua bagian sejajar","<head> dan <body> tidak boleh ada dalam satu file yang sama","<html> harus diletakkan di dalam <body>",B
